
 C:\WinTa100\DIL805.PRO\Data\Quenching\958-Micaela Moron-Zry4-M11-25C-60s-1050C-0.5Cs-5m-25C-0.5Cs-25C-60s-02.06.25.PAR
                Time - Temperature  /  rel. Change in Length  /  dif. Change in Length 
                  s                °C                    %
  5070      2564,00268555      973,07916260        0,18257785       -0,06135678
  5071      2564,50195313      972,82818604        0,18238765       -0,06166144
  5072      2565,00292969      972,52117920        0,18192568       -0,06135794
  5073      2565,50244141      972,24401855        0,18162678       -0,06455743
  5074      2566,00195313      971,96887207        0,18143658       -0,06703658
  5075      2566,50244141      971,95214844        0,18075724       -0,06856591
  5076      2567,00219727      971,38580322        0,18081158       -0,06879053
  5077      2567,50268555      971,08044434        0,18026812       -0,06812159
  5078      2568,00195313      971,03942871        0,17975183       -0,06898306
  5079      2568,50268555      970,75329590        0,17923553       -0,06881571
  5080      2569,00195313      970,60144043        0,17923553       -0,06973215
  5081      2569,50268555      970,26983643        0,17907248       -0,06828663
  5082      2570,00219727      970,02154541        0,17863771       -0,06472377
  5083      2570,50292969      969,66345215        0,17825729       -0,06302761
  5084      2571,00219727      969,47955322        0,17779535       -0,06227314
  5085      2571,50292969      969,32702637        0,17730622       -0,06475402
  5086      2572,00244141      968,96600342        0,17744209       -0,06823274
  5087      2572,50195313      968,73510742        0,17698014       -0,06982253
  5088      2573,00268555      968,59106445        0,17684427       -0,06946027
  5089      2573,50195313      968,31329346        0,17638233       -0,06765038
  5090      2574,00268555      968,09118652        0,17575733       -0,06748129
  5091      2574,50195313      967,77343750        0,17545843       -0,06998297
  5092      2575,00268555      967,45025635        0,17502367       -0,07073580
  5093      2575,50195313      967,21026611        0,17458889       -0,07240383
  5094      2576,00268555      966,97174072        0,17483345       -0,07204491
  5095      2576,50244141      966,88391113        0,17404541       -0,07054002
  5096      2577,00292969      966,45178223        0,17393672       -0,06867629
  5097      2577,50268555      966,19989014        0,17339326       -0,06594788
  5098      2578,00219727      966,01220703        0,17323022       -0,06742528
  5099      2578,50268555      965,66137695        0,17257807       -0,06659273
  5100      2579,00219727      965,50891113        0,17222480       -0,06751084
  5101      2579,50292969      965,21496582        0,17211610       -0,06723419
  5102      2580,00244141      964,95538330        0,17187154       -0,06558814
  5103      2580,50195313      964,81304932        0,17157264       -0,06453164
  5104      2581,00268555      964,30377197        0,17119221       -0,06430938
  5105      2581,50219727      964,25854492        0,17083895       -0,06617592
  5106      2582,00292969      964,03479004        0,17048572       -0,06745709
  5107      2582,50268555      963,74468994        0,17013246       -0,06965534
  5108      2583,00219727      963,51202393        0,16999659       -0,07277193
  5109      2583,50195313      963,21801758        0,16939877       -0,07291088
  5110      2584,00244141      963,00878906        0,16880096       -0,07140882
  5111      2584,50195313      962,77368164        0,16880096       -0,06979608
  5112      2585,00268555      962,54003906        0,16839336       -0,06929296
  5113      2585,50195313      962,27038574        0,16776837       -0,06892643
  5114      2586,00268555      961,97637939        0,16749664       -0,06836906
  5115      2586,50244141      961,82171631        0,16744231       -0,06769993
  5116      2587,00195313      961,56573486        0,16717055       -0,06697750
  5117      2587,50244141      961,27819824        0,16695318       -0,06753606
  5118      2588,00292969      960,90649414        0,16624665       -0,06728709
  5119      2588,50244141      960,68609619        0,16581190       -0,06792762
  5120      2589,00195313      960,50396729        0,16575755       -0,06984486
  5121      2589,50268555      960,26013184        0,16532277       -0,07193539
  5122      2590,00219727      960,03485107        0,16477931       -0,07226776
  5123      2590,50195313      959,72009277        0,16456191       -0,07154527
  5124      2591,00268555      959,56860352        0,16434453       -0,07162769
  5125      2591,50219727      959,28649902        0,16382824       -0,06965204
  5126      2592,00292969      959,00946045        0,16358368       -0,07037421
  5127      2592,50219727      958,79992676        0,16320324       -0,06998312
  5128      2593,00292969      958,54071045        0,16257825       -0,07145879
  5129      2593,50219727      958,34326172        0,16260542       -0,07148566
  5130      2594,00268555      957,90924072        0,16198045       -0,07045744
  5131      2594,50195313      957,73266602        0,16200761       -0,06898189
  5132      2595,00292969      957,57666016        0,16130111       -0,06611694
  5133      2595,50244141      957,29174805        0,16102937       -0,06656216
  5134      2596,00292969      956,98889160        0,16048591       -0,06664796
  5135      2596,50244141      956,70361328        0,16056743       -0,06923600
  5136      2597,00292969      956,47180176        0,16024135       -0,06901605
  5137      2597,50244141      956,26837158        0,15986092       -0,06806746
  5138      2598,00195313      955,96478271        0,15958919       -0,06854188
  5139      2598,50244141      955,70562744        0,15901853       -0,06962705
  5140      2599,00195313      955,52209473        0,15839356       -0,07140868
  5141      2599,50268555      955,32470703        0,15844789       -0,07324558
  5142      2600,00219727      954,97290039        0,15801314       -0,07201801
  5143      2600,50292969      954,76379395        0,15755117       -0,07015287
  5144      2601,00219727      954,51165771        0,15727946       -0,06725445
  5145      2601,50292969      954,22302246        0,15676317       -0,06642333
  5146      2602,00244141      954,06225586        0,15662730       -0,06597713
  5147      2602,50219727      953,84399414        0,15632838       -0,06662066
  5148      2603,00268555      953,67712402        0,15621968       -0,06817916
  5149      2603,50195313      953,18048096        0,15554035       -0,06659341
  5150      2604,00268555      952,95892334        0,15543166       -0,06859777
  5151      2604,50195313      952,76086426        0,15502405       -0,07018211
  5152      2605,00268555      952,54168701        0,15445343       -0,07266042
  5153      2605,50219727      952,21191406        0,15423603       -0,07432870
  5154      2606,00268555      952,18316650        0,15377410       -0,07469276
  5155      2606,50195313      951,68902588        0,15361103       -0,07488541
  5156      2607,00268555      951,49810791        0,15298606       -0,07076775
  5157      2607,50244141      951,30731201        0,15263280       -0,07018151
  5158      2608,00195313      950,87487793        0,15252411       -0,06817734
  5159      2608,50244141      950,78729248        0,15173608       -0,06817582
  5160      2609,00195313      950,61114502        0,15179044       -0,06689450
  5161      2609,50244141      950,34930420        0,15151869       -0,06561279
  5162      2610,00219727      950,04406738        0,15127414       -0,06474928
  5163      2610,50268555      949,89953613        0,15070349       -0,06483227
  5164      2611,00219727      949,50579834        0,15062198       -0,06638981
  5165      2611,50292969      949,30059814        0,14969809       -0,06666915
  5166      2612,00219727      949,05120850        0,15024155       -0,06937061
  5167      2612,50292969      948,70880127        0,14937200       -0,06723006
  5168      2613,00219727      948,41802979        0,14885570       -0,06770395
  5169      2613,50292969      948,28173828        0,14888288       -0,06832047
  5170      2614,00244141      947,97851563        0,14823072       -0,06996252
  5171      2614,50195313      947,73016357        0,14801334       -0,07113108
  5172      2615,00268555      947,56701660        0,14804050       -0,07001712
  5173      2615,50244141      947,22644043        0,14752421       -0,07001671
  5174      2616,00195313      946,99841309        0,14689922       -0,06726061
  5175      2616,50244141      946,72784424        0,14643729       -0,06773077
  5176      2617,00219727      946,55316162        0,14632858       -0,06989948
  5177      2617,50292969      946,15106201        0,14578512       -0,07067902
  5178      2618,00244141      945,97399902        0,14578512       -0,07106759
  5179      2618,50219727      945,68206787        0,14545903       -0,06864753
  5180      2619,00292969      945,49011230        0,14491557       -0,06586441
  5181      2619,50244141      945,41943359        0,14477970       -0,06728561
  5182      2620,00292969      945,01434326        0,14423624       -0,06854293
  5183      2620,50244141      944,72460938        0,14350256       -0,07074152
  5184      2621,00195313      944,76831055        0,14396450       -0,07227383
  5185      2621,50268555      944,25744629        0,14323081       -0,07166069
  5186      2622,00195313      944,01110840        0,14285040       -0,07010081
  5187      2622,50244141      943,71582031        0,14249714       -0,06896002
  5188      2623,00195313      943,53491211        0,14211671       -0,07112763
  5189      2623,50219727      943,28601074        0,14165476       -0,07137979
